id,status,created_by,created_at,updated_at,resource_id
1,7,,2024-10-10 15:25:06,2024-12-10 12:26:17,11
2,7,,2024-10-10 15:25:06,2024-12-10 12:26:20,10
3,8,,2024-10-10 15:25:06,2024-10-10 13:26:49,9
4,7,,2024-10-10 15:25:06,2024-12-10 12:26:22,17
5,7,,2024-12-10 13:26:36,2024-12-10 12:26:41,19
6,0,,2025-02-25 18:42:30,2025-02-25 18:42:30,9
7,0,,2025-02-26 14:48:06,2025-02-26 14:48:06,34
8,0,,2025-02-26 14:48:06,2025-02-26 14:48:06,36
9,0,,2025-02-26 14:48:06,2025-02-26 14:48:06,35
10,0,,2025-02-26 14:48:06,2025-02-26 14:48:06,37
11,0,,2025-02-26 14:48:06,2025-02-26 14:48:06,33
12,0,,2025-02-26 14:48:22,2025-02-26 14:48:22,27
