id,created_by,created_at,updated_at,user_id,role_id
1,,2024-09-11 09:58:22,2024-09-11 09:58:22,1,1
2,,2024-09-11 10:07:46,2024-09-11 10:07:46,2,5
22,,2024-09-25 12:07:14,2024-09-25 12:07:14,8,5
23,,2024-09-25 12:07:18,2024-09-25 12:07:18,9,5
29,,2024-10-01 18:00:52,2024-10-01 18:00:50,10,5
33,,2024-10-31 11:20:29,2024-10-31 11:20:29,3,2
34,,2024-10-31 11:20:29,2024-10-31 11:20:29,3,1
39,,2024-11-08 14:41:54,2024-11-08 14:41:54,6,10
40,,2024-11-08 14:41:54,2024-11-08 14:41:54,6,9
41,,2024-11-08 14:41:54,2024-11-08 14:41:54,6,5
42,,2024-11-08 14:41:54,2024-11-08 14:41:54,6,16
43,,2024-11-08 14:41:54,2024-11-08 14:41:54,6,3
44,,2024-11-08 14:42:27,2024-11-08 14:42:27,5,3
45,,2024-11-08 14:42:27,2024-11-08 14:42:27,5,5
46,,2024-11-08 14:42:27,2024-11-08 14:42:27,5,16
47,,2024-11-08 14:42:27,2024-11-08 14:42:27,5,10
48,,2024-11-11 15:29:59,2024-11-11 15:29:59,14,5
50,,2024-11-11 15:33:27,2024-11-11 15:33:27,15,5
51,,2024-11-14 12:00:22,2024-11-14 12:00:22,13,5
52,,2024-11-14 12:00:22,2024-11-14 12:00:22,13,4
53,,2024-11-14 12:00:22,2024-11-14 12:00:22,13,1
54,,2024-11-18 07:34:44,2024-11-18 07:34:44,16,5
55,,2024-11-18 07:35:37,2024-11-18 07:35:37,17,5
57,,2024-11-30 09:23:39,2024-11-30 09:23:39,21,5
58,,2024-11-30 09:23:39,2024-11-30 09:23:39,21,1
63,,2024-12-23 12:06:18,2024-12-23 12:06:18,23,5
64,,2024-12-23 12:06:18,2024-12-23 12:06:18,23,3
65,,2024-12-23 12:06:18,2024-12-23 12:06:18,23,4
66,,2025-01-20 15:29:57,2025-01-20 15:29:57,24,5
67,,2025-02-26 16:44:14,2025-02-26 16:44:14,25,5
